---,Word,Mature
727,alphabet,0
728,alphabets,0
729,alphas,0
730,alpine,0
731,alps,0
732,already,0
733,alright,0
734,als,0
735,also,0
736,alt,0
737,altar,0
738,altars,0
739,alter,0
740,altered,0
741,altering,0
742,alternate,0
743,alters,0
744,althea,0
745,altho,0
746,although,0
747,altitude,0
748,altitudes,0
749,alto,0
750,altos,0
751,altruism,0
752,alum,0
753,alumina,0
754,aluminium,0
755,aluminum,0
756,alumni,0
757,alumnus,0
758,alveolar,0
759,alway,0
760,always,0
761,ama,0
762,amalgam,0
763,amass,0
764,amassed,0
765,amassing,0
766,amateur,0
767,amateurs,0
768,amaze,0
769,amazed,0
770,amazement,0
771,amazes,0
772,amazing,0
773,amazingly,0
774,amazon,0
775,amazonian,0
776,amazons,0
777,amber,0
778,ambiance,0
779,ambience,0
780,ambient,0
781,ambiguity,0
782,ambiguous,0
783,ambition,0
784,ambitions,0
785,ambitious,0
786,ambrosia,0
787,ambulance,0
788,ambush,0
789,ambushed,0
790,ambushes,0
791,ame,0
792,amelia,0
793,amen,0
794,amenable,0
795,amend,0
796,amended,0
797,amending,0
798,amendment,0
799,amends,0
800,amenities,0
801,amenity,0
802,ames,0
803,amethyst,0
804,ami,0
805,amiable,0
806,amicable,0
807,amicably,0
808,amicus,0
809,amid,0
810,amidst,0
811,amie,0
812,amiga,0
813,amigo,0
814,amigos,0
815,amin,0
816,amine,0
817,amines,0
818,amino,0
819,amir,0
820,amis,0
821,amiss,0
822,amity,0
823,amman,0
824,ammo,0
825,ammonia,0
826,ammonium,0
827,amnesia,0
828,amnesty,0
829,amniotic,0
830,amoeba,0
831,amok,0
832,among,0
833,amongst,0
834,amoral,0
835,amorous,0
836,amorphous,0
837,amount,0
838,amounted,0
839,amounting,0
840,amounts,0
841,amour,0
842,amp,0
843,amped,0
844,amphibian,0
845,ample,0
846,amplified,0
847,amplifier,0
848,amplifies,0
849,amplify,0
850,amplitude,0
851,amply,0
852,amps,0
853,amputated,0
854,amputee,0
855,amputees,0
856,amulet,0
857,amulets,0
858,amuse,0
859,amused,0
860,amusement,0
861,amuses,0
862,amusing,0
863,amygdala,0
864,amyloid,0
865,ana,0
866,anabolic,0
867,anaconda,0
